period,date,n1,n2,n3,n4,n5,n6,special
139,2025-05-19,38,27,47,30,45,9,14
140,2025-05-20,22,45,2,41,39,31,11
141,2025-05-21,30,22,31,34,39,3,13
142,2025-05-22,17,30,8,29,23,33,44
143,2025-05-23,27,19,17,2,24,15,10
144,2025-05-24,36,31,19,1,34,29,25
145,2025-05-25,30,25,29,28,10,49,17
146,2025-05-26,24,41,25,3,11,47,14
147,2025-05-27,47,14,38,26,19,35,32
148,2025-05-28,48,26,5,31,44,9,2
149,2025-05-29,44,43,25,3,29,19,41
150,2025-05-30,24,43,18,31,45,12,40
151,2025-05-31,29,49,26,25,35,39,38
152,2025-06-01,9,34,17,29,35,12,10
153,2025-06-02,42,11,25,8,45,9,43
154,2025-06-03,37,18,45,25,47,42,26
155,2025-06-04,6,34,33,12,37,20,45
156,2025-06-05,15,13,38,17,28,32,18
157,2025-06-06,37,5,16,12,17,3,23
158,2025-06-07,15,48,4,17,42,21,5
159,2025-06-08,45,34,35,22,24,8,31
160,2025-06-09,23,42,32,46,30,40,11
161,2025-06-10,49,41,44,29,38,18,16
162,2025-06-11,38,2,22,48,15,12,1
163,2025-06-12,38,18,43,29,10,32,23
164,2025-06-13,46,38,14,39,26,8,13
165,2025-06-14,23,37,17,8,42,49,47
166,2025-06-15,30,38,18,14,42,16,41
167,2025-06-16,11,27,30,6,36,3,9
168,2025-06-17,31,7,40,15,9,25,16
169,2025-06-18,11,2,32,38,29,31,7
170,2025-06-19,22,20,36,44,31,19,33
171,2025-06-20,15,4,23,36,27,7,47
172,2025-06-21,3,15,4,39,2,28,36
173,2025-06-22,46,32,30,5,42,4,38
174,2025-06-23,11,36,22,24,20,12,39
175,2025-06-24,37,3,32,12,8,29,30
176,2025-06-25,12,5,24,28,22,17,36
177,2025-06-26,31,30,11,49,22,41,4
178,2025-06-27,42,30,37,20,6,7,27
179,2025-06-28,42,8,5,30,29,25,24
180,2025-06-29,14,37,28,43,1,41,29
181,2025-06-30,10,21,40,37,2,39,23
182,2025-07-01,1,49,21,39,6,34,42
183,2025-07-02,12,39,38,7,28,45,33
184,2025-07-03,8,32,20,30,18,35,28
185,2025-07-04,22,40,29,45,11,1,5
186,2025-07-05,13,40,22,20,17,9,8
187,2025-07-06,7,31,18,14,26,4,45
188,2025-07-07,3,7,13,49,32,35,15
189,2025-07-08,11,36,3,39,48,41,17
190,2025-07-09,8,24,3,36,49,25,18
191,2025-07-10,33,41,40,24,37,18,29
192,2025-07-11,19,31,10,46,20,3,45
193,2025-07-12,17,16,4,14,6,42,24
194,2025-07-13,11,30,46,43,3,7,29
195,2025-07-14,22,12,42,8,6,27,25
196,2025-07-15,31,33,27,21,9,12,14
197,2025-07-16,15,25,10,43,12,24,34
198,2025-07-17,33,3,7,45,39,15,43
199,2025-07-18,37,32,5,21,13,11,10
200,2025-07-19,22,21,42,41,11,15,47
201,2025-07-20,5,30,1,37,25,46,47
202,2025-07-21,17,33,9,48,44,5,20
203,2025-07-22,27,23,39,10,12,44,18
204,2025-07-23,7,47,15,41,18,36,30
205,2025-07-24,23,4,12,6,37,30,1
206,2025-07-25,35,11,27,19,28,20,10
207,2025-07-26,9,27,6,1,49,45,24
208,2025-07-27,31,17,48,24,32,29,9
209,2025-07-28,31,8,32,26,48,2,13
210,2025-07-29,35,40,47,11,24,14,15
211,2025-07-30,39,1,14,27,24,12,2
212,2025-07-31,5,12,25,35,36,20,18
213,2025-08-01,3,31,34,38,47,24,11
214,2025-08-02,22,48,38,28,1,19,15
215,2025-08-03,33,11,19,15,36,13,21
216,2025-08-04,48,7,20,12,17,46,23
217,2025-08-05,18,3,39,37,8,11,46
218,2025-08-06,22,32,36,34,26,38,23
219,2025-08-07,4,25,23,46,16,41,9
220,2025-08-08,35,28,14,11,10,43,8
221,2025-08-09,46,27,15,23,25,12,8
222,2025-08-10,46,40,21,13,1,5,43
223,2025-08-11,46,41,44,7,34,24,25
224,2025-08-12,19,9,37,7,49,13,16
225,2025-08-13,45,24,13,44,9,47,32
226,2025-08-14,13,27,26,2,6,43,31
227,2025-08-15,7,11,27,19,28,43,40
228,2025-08-16,45,20,40,46,26,16,15
229,2025-08-17,41,36,48,42,28,6,2
230,2025-08-18,15,10,1,46,48,8,39
231,2025-08-19,16,23,5,8,35,31,38
232,2025-08-20,49,40,19,44,18,23,42
233,2025-08-21,43,29,27,18,45,6,37
234,2025-08-22,14,18,43,23,11,16,13
235,2025-08-23,45,43,12,36,49,2,42
236,2025-08-24,46,18,45,42,49,9,39
237,2025-08-25,49,25,10,3,37,17,2
238,2025-08-26,10,43,34,15,9,48,46
239,2025-08-27,12,13,1,5,29,48,4
240,2025-08-28,4,42,25,24,22,9,28
241,2025-08-29,22,38,11,29,43,9,1
242,2025-08-30,46,33,26,9,5,7,34
243,2025-08-31,15,47,23,16,27,42,8
244,2025-09-01,4,16,25,7,22,12,24
245,2025-09-02,34,37,19,29,14,38,44
246,2025-09-03,14,18,16,26,1,23,6
247,2025-09-04,38,10,1,44,15,3,25
248,2025-09-05,27,42,24,34,20,39,12
249,2025-09-06,37,19,48,9,4,1,2
250,2025-09-07,47,3,34,11,33,35,12
251,2025-09-08,6,18,12,36,5,15,35
252,2025-09-09,1,43,49,10,35,40,23
253,2025-09-10,6,39,19,8,30,37,33
254,2025-09-11,27,12,29,32,44,19,17
255,2025-09-12,15,21,20,25,24,39,42
256,2025-09-13,42,36,11,9,45,5,48
257,2025-09-14,23,21,4,1,30,11,28
258,2025-09-15,1,26,35,25,47,17,38
259,2025-09-16,8,38,30,45,9,42,47
260,2025-09-17,44,11,40,24,12,28,3
261,2025-09-18,37,34,9,46,16,30,33
262,2025-09-19,16,27,28,33,12,38,44
263,2025-09-20,39,48,3,20,25,43,38
264,2025-09-21,23,33,6,32,19,47,43
265,2025-09-22,44,34,48,6,23,1,10
266,2025-09-23,1,18,13,43,26,40,41
267,2025-09-24,7,9,5,25,48,40,29
268,2025-09-25,39,27,1,45,5,31,10
269,2025-09-26,17,2,33,38,46,21,31
270,2025-09-27,5,11,31,46,3,10,35
271,2025-09-28,48,3,44,27,8,9,6
272,2025-09-29,1,4,29,41,10,21,36
273,2025-09-30,2,43,19,34,22,49,4
274,2025-10-01,41,20,19,22,39,40,44
275,2025-10-02,34,47,25,21,28,5,45
276,2025-10-03,16,22,34,13,21,25,9
277,2025-10-04,46,11,41,33,48,37,16
278,2025-10-05,4,18,33,34,45,39,28
279,2025-10-06,37,1,26,42,39,30,27
280,2025-10-07,36,49,44,32,35,28,42
281,2025-10-08,37,7,10,13,23,36,47
282,2025-10-09,4,33,25,30,38,12,41
283,2025-10-10,21,24,35,8,29,18,45
284,2025-10-11,21,6,12,13,49,38,41
285,2025-10-12,46,25,37,15,41,28,24
286,2025-10-13,25,27,24,16,15,42,3
287,2025-10-14,5,42,49,10,40,36,34
288,2025-10-15,44,8,17,1,2,47,14
289,2025-10-16,35,4,23,10,44,24,42
290,2025-10-17,40,18,25,5,2,17,19
291,2025-10-18,43,24,6,10,30,25,44
